sample_id	HE1	marker1	HE2	marker2	Spot1	Spot2	Spot3
sample10-2	520,293	304,384	4843,4586	4613,4646	618,725	653,4246	4143,684
sample10-3	476,436	247,501	4823,4433	4574,4504	632,843	666,4370	4158,808
sample10-4	520,440	305,528	4831,4621	4610,4684	644,765	684,4284	4165,730
sample10-5	524,238	302,351	4921,4559	4683,4659	737,761	775,4280	4258,725
sample10-6	712,396	481,470	4873,4450	4629,4520	803,793	839,4310	4327,757
sample10-7	365,366	152,451	4811,4544	4597,4622	612,734	654,4263	4141,699
sample10-8	540,294	315,359	4596,4476	4377,4567	716,687	756,4215	4241,651
sample10-9	544,227	311,348	4719,4704	4481,4783	772,754	808,4279	4295,719
sample11-3	288,342	404,431	4518,4654	4587,4706	747,757	735,4285	4275,764
sample11-5	328,512	569,470	4594,4747	4776,4690	908,726	898,4254	4437,734
sample11-6	255,421	462,373	4609,4475	4783,4454	917,758	906,4285	4446,765
sample11-7	175,575	405,549	4060,4717	4266,4684	840,756	832,4284	4368,761
sample11-9	195,535	410,512	4581,4572	4751,4531	881,775	871,4303	4406,780
sample13-1	444,427	513,265	4603,4902	4626,4734	770,630	746,4142	4283,630
sample13-2	457,375	537,227	4686,4609	4745,4438	792,592	781,4115	4317,581
sample13-3	477,432	551,280	4612,4894	4672,4714	751,708	739,4231	4274,698
sample13-4	435,603	512,443	4667,4773	4774,4619	883,674	870,4196	4409,663
sample13-6	503,400	569,254	4797,4653	4860,4493	918,687	905,4212	4443,677
sample13-7	340,517	422,367	4544,4696	4613,4531	846,676	834,4199	4368,664
sample13-8	370,525	451,384	4635,4817	4697,4648	886,624	875,4148	4408,615
sample14-1	369,583	494,494	4605,4782	4616,4784	812,686	747,4208	4336,741
sample14-3	340,695	243,631	4752,4714	4561,4725	634,769	567,4292	4158,824
sample14-4	321,553	461,566	4856,4774	4872,4900	897,814	830,4336	4423,869
sample14-5	394,288	410,306	4825,4603	4736,4733	860,802	792,4325	4386,856
sample14-6	357,214	269,240	4755,4463	4563,4579	799,818	731,4342	4325,874
sample14-7	389,473	512,624	4626,4663	4637,4900	860,901	795,4423	4385,956
sample14-8	561,427	574,560	4824,4755	4732,4943	834,845	768,4368	4358,900
sample14-9	489,316	401,462	4866,4717	4665,4956	759,899	691,4423	4282,954
sample16-1	560,400	572,447	4716,4677	4711,4710	742,648	729,4177	4263,663
sample16-2	489,320	490,352	4577,4555	4577,4590	737,625	723,4154	4257,639
sample16-3	498,409	490,458	4484,4517	4448,4568	691,755	677,4284	4211,770
sample16-4	419,428	430,485	4733,4677	4731,4732	822,732	809,4260	4345,747
sample16-5	365,289	360,349	4865,4659	4860,4707	849,729	835,4257	4371,743
sample16-6	399,343	382,389	4879,4432	4861,4479	852,761	837,4290	4375,776
sample16-7	330,496	340,572	4470,4600	4463,4600	780,770	768,4295	4296,785
sample16-8	436,340	430,421	4626,4700	4599,4766	819,730	804,4259	4338,747
sample16-9	364,219	348,301	4782,4709	4747,4774	806,795	792,4324	4326,810
sample17-2	489,394	514,320	4659,4699	4608,4662	690,582	651,4109	4211,622
sample17-3	264,261	241,166	4646,4724	4532,4682	613,703	574,4229	4134,740
sample17-4	329,558	435,546	4561,4505	4584,4526	804,711	766,4236	4326,753
sample17-5	433,325	462,296	4720,4592	4671,4617	800,702	761,4229	4323,743
sample17-6	471,470	431,452	4852,4608	4748,4651	772,725	733,4251	4295,724
sample17-7	233,495	334,557	4446,4470	4465,4754	763,779	725,4302	4283,819
sample17-8	283,226	322,288	4548,4632	4498,4707	770,729	732,4254	4290,769
sample17-9	370,299	336,349	4613,4496	4505,4568	728,786	689,4311	4248,825
sample18-1	428,572	348,419	4687,4755	4619,4585	680,693	705,4213	4210,636
sample18-2	417,584	349,431	4776,4857	4732,4684	722,659	746,4180	4251,603
sample18-3	350,552	296,400	4722,4977	4685,4799	724,773	748,4294	4253,716
sample18-4	366,509	282,356	4803,4727	4746,4537	772,683	797,4204	4303,628
sample18-5	514,475	445,315	4888,4764	4840,4590	845,678	896,4200	4376,624
sample18-6	572,599	517,441	4940,4767	4902,4581	893,699	917,4220	4424,644
sample18-7	475,533	395,361	4579,4619	4525,4426	742,639	765,4160	4269,581
sample18-8	508,366	439,193	4766,4421	4734,4224	824,581	849,4104	4353,527
sample18-9	566,486	512,318	4821,4475	4792,4283	860,637	884,4156	4390,583
sample19-1	320,546	367,411	4662,4711	4672,4582	725,675	742,4200	4242,675
sample19-2	410,481	425,342	4721,4698	4720,4568	757,647	773,4173	4274,647
sample19-3	447,551	438,409	4657,4705	4625,4574	748,766	763,4293	4265,766
sample19-4	239,448	280,327	4707,4732	4727,4639	801,740	818,4265	4321,740
sample19-5	467,459	483,335	4910,4669	4889,4575	865,733	882,4257	4384,731
sample19-6	552,495	543,367	4755,4648	4760,4544	906,760	921,4286	4427,760
sample19-7	244,415	290,318	4470,4618	4491,4539	757,756	773,4281	4275,755
sample19-8	415,394	430,299	4689,4670	4689,4590	832,706	848,4232	4349,707
sample19-9	571,378	558,299	4763,4660	4720,4601	857,767	875,4292	4373,769
sample20-1	194,489	425,294	4586,4767	4685,4673	813,615	795,4143	4342,663
sample20-2	380,503	495,301	4675,4466	4667,4394	802,588	783,4117	4331,638
sample20-3	469,618	460,418	4817,4830	4657,4748	751,710	732,4238	4281,761
sample20-6	500,271	493,193	4853,4730	4734,4764	923,767	903,4296	4454,817
sample20-7	213,423	440,461	4566,4581	4676,4732	875,815	856,4345	4405,861
sample20-8	316,302	426,341	4763,4481	4750,4650	906,777	886,4306	4435,824
sample20-9	386,426	374,457	4847,4581	4711,4717	888,833	868,4363	4417,885
sample5-4	400,574	429,433	4658,4806	4615,4669	777,699	778,4225	4299,697
sample5-5	413,432	430,291	4616,4773	4662,4643	771,646	772,4174	4292,643
sample5-7	270,602	317,465	4319,4724	4353,4597	734,724	735,4244	4245,719
sample5-8	315,474	345,343	4508,4705	4511,4528	790,678	789,4200	4303,675
sample5-9	329,528	339,396	4688,4757	4706,4631	795,739	794,4261	4306,730
sample7-1	433,419	493,492	4493,4597	4496,4696	743,771	731,4286	4265,731
sample7-2	448,240	449,315	4656,4415	4604,4511	740,729	729,4245	4260,689
sample7-3	418,526	359,584	4749,4607	4594,4718	697,837	682,4354	4216,797
sample7-4	269,514	324,647	4711,4503	4694,4666	823,785	811,4301	4346,744
sample7-5	305,294	311,439	4718,4529	4640,4727	851,764	837,4280	4371,724
sample7-8	482,293	477,466	4377,4409	4298,4662	819,694	808,4211	4336,654
sample8-3	104,287	185,440	4604,4307	4575,4435	683,789	672,4297	4192,788
