,UMI,GENE,sample,methods,tissue
0,2058,1355,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
1,13834,5077,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
2,12421,4865,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
3,3175,1937,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
4,7937,3668,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
5,6627,3140,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
6,15768,5737,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
7,4626,2457,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
8,30915,7839,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
9,16349,5714,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
10,45583,8899,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
11,8951,3977,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
12,17349,6070,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
13,3662,2174,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
14,3932,2182,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
15,3628,2160,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
16,4535,2725,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
17,15490,5560,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
18,14134,5321,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
19,34579,8012,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
20,22151,6566,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
21,13875,5273,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
22,23070,6898,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
23,10886,4614,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
24,5843,2989,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
25,18619,5686,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
26,9379,3596,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
27,2863,1659,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
28,8639,3802,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
29,8409,3484,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
30,14685,5323,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
31,4355,2132,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
32,25932,7199,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
33,14301,5305,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
34,42308,8639,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
35,9426,4166,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
36,22069,6652,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
37,4128,2371,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
38,4811,2650,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
39,4291,2455,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
40,3525,2166,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
41,2848,1830,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
42,10671,4258,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
43,9802,4329,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
44,19986,6414,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
45,13701,5241,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
46,8305,3999,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
47,11333,4667,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
48,7212,3439,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
49,7534,3681,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
50,18670,5875,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
51,8720,3661,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
52,3119,1878,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
53,13184,4969,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
54,15248,5302,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
55,24156,6828,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
56,3572,1950,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
57,17157,5924,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
58,7182,3543,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
59,32380,7754,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
60,8314,3728,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
61,20628,6571,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
62,3991,2318,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
63,8637,3920,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
64,4121,2199,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
65,3868,2267,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
66,2579,1717,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
67,8725,3837,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
68,8425,3988,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
69,16462,5955,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
70,8544,4006,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
71,6223,3265,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
72,5097,2726,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
73,9513,4177,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
74,15729,5604,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
75,6797,3253,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
76,3195,2026,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
77,19656,6251,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
78,16151,5546,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
79,28824,7480,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
80,4529,2563,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
81,16140,5878,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
82,4220,2439,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
83,12954,5121,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
84,2921,1778,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
85,7453,3678,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
86,2963,1857,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
87,15128,5363,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
88,4417,2508,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
89,5302,2902,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
90,2996,1975,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
91,8224,3652,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
92,10058,4420,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
93,21148,6606,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
94,9781,4229,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
95,5210,2821,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
96,3976,2171,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
97,5789,3003,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
98,6799,3421,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
99,11675,4900,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
