,Rep.1,Rep.2,Rep.3,Rep.4
ENSMUSG00000000001,7.207384,7.279507142710628,7.524351319736486,7.647675034500999
ENSMUSG00000000028,5.619069,5.820501304923934,5.662457661415239,5.753957855185577
ENSMUSG00000000031,6.6276517,6.6114713752225285,7.08440761819008,6.803499431816188
ENSMUSG00000000037,4.892126,4.912205099107781,4.8484254419440465,4.964482700722881
ENSMUSG00000000049,1.7270529,2.1433861646281773,2.0696758924728673,2.378878445217863
ENSMUSG00000000056,6.3199773,6.439923021071205,6.693506681358618,6.778450988665892
ENSMUSG00000000058,4.996276,5.120609600517164,5.295186861274031,5.391042351145443
ENSMUSG00000000078,6.565788,6.667426249125364,7.012720294076644,7.094746599843567
ENSMUSG00000000085,6.157422,6.341353241307286,6.450659391502008,6.579225695598406
ENSMUSG00000000088,8.805652,8.829164522446792,8.936213601037556,8.975552197028696
ENSMUSG00000000093,3.644633,3.597471733571333,3.6263794624864354,3.5879136534191183
ENSMUSG00000000120,4.4983473,4.448896167351067,4.619276536029719,4.685490846690763
ENSMUSG00000000125,4.746216,4.855210473903743,5.211582412864524,5.3187129660272685
ENSMUSG00000000126,4.288401,4.4596173617415555,4.6978748653801805,4.64789815107785
ENSMUSG00000000127,5.496727,5.526057697304233,5.714161369809434,5.683641734786485
ENSMUSG00000000131,6.397331,6.419798284157527,6.62455306581364,6.742249788218439
ENSMUSG00000000134,5.120333,5.160816926022899,5.4240953618377965,5.46635008174012
ENSMUSG00000000142,5.8876147,6.015255591655898,6.259549487200299,6.332192546653064
ENSMUSG00000000148,4.8686624,4.838130446624086,5.075830681054233,5.133813723806981
ENSMUSG00000000149,6.6301985,6.66210844914241,6.844385280585032,6.923746306126595
ENSMUSG00000000154,1.5007774,2.1568476818744045,2.3513618148065745,2.3808133821208948
ENSMUSG00000000167,4.1391473,4.396580756910642,4.296098149206163,3.988120280477947
ENSMUSG00000000168,6.4910297,6.546359037034521,6.736377936489451,6.79167137576453
ENSMUSG00000000171,7.442986,7.46759341942755,7.4956035196794,7.490069573151909
ENSMUSG00000000182,2.139819,2.342114290542371,2.113740652798157,1.6341358283700222
ENSMUSG00000000184,7.3554077,7.49787178790999,7.709214681520017,7.9086297446099385
ENSMUSG00000000194,5.8151965,5.869917244776851,6.099671852149922,6.151219957010727
ENSMUSG00000000197,6.178899,6.135890226876914,6.454389136153084,6.546125891041975
ENSMUSG00000000202,5.2483716,5.472136477081348,5.5901100128169,5.779137793897763
ENSMUSG00000000214,3.002654,2.785077220195932,3.2291287174151826,2.58638241896261
ENSMUSG00000000215,2.563552,3.06579430341027,2.2163331418675662,2.350294750996206
ENSMUSG00000000223,5.624941,5.858189730800432,5.895272417220696,6.054312396548597
ENSMUSG00000000247,7.1247582,7.281194684687824,7.478901572125699,7.642051783296778
ENSMUSG00000000253,5.1223717,5.144686914232981,5.172327913869684,5.242920687653903
ENSMUSG00000000263,3.1262283,3.5704723896589283,2.8718254364541234,2.992243280117905
ENSMUSG00000000266,5.12966,5.1066711589767975,5.503197558166477,5.643578080592099
ENSMUSG00000000275,4.7241755,4.547572608562536,4.763776257830854,4.7837686060039575
ENSMUSG00000000276,6.094542,6.192095346976729,6.31070698522616,6.36506439264854
ENSMUSG00000000278,5.3568573,5.765656985226103,5.737958704451833,5.761341837338998
ENSMUSG00000000282,6.0987477,6.213654396722951,6.451523278568371,6.611041330721321
ENSMUSG00000000295,6.3663054,6.343548922885868,6.305909566032885,6.258635029766376
ENSMUSG00000000296,6.3337164,6.426008258208751,6.3913726583833075,6.503007351382681
ENSMUSG00000000301,5.0616236,5.19944835611842,5.027302165829955,5.006522130642295
ENSMUSG00000000303,3.042249,3.2187181891533285,3.4293508450906445,3.247140348267804
ENSMUSG00000000305,6.041898,6.363022947108798,6.656897768828935,6.893548515885422
ENSMUSG00000000308,6.369641,6.281000978274963,6.415335776902115,6.399679269184288
ENSMUSG00000000317,4.6271057,4.802088817295121,4.728205112670021,4.915186768540958
ENSMUSG00000000318,2.4660113,2.4122368109277037,2.330314241731836,2.66334821510608
ENSMUSG00000000320,2.0611768,1.6160858593221836,2.35212238617876,2.280540897719594
ENSMUSG00000000325,6.577582,6.691679889935501,6.843984692074249,6.88717806954809
ENSMUSG00000000326,6.571208,6.612326645136756,6.6915665516563765,6.622227216364802
ENSMUSG00000000339,6.775993,6.7716608249442665,6.9934287761393445,7.035800366359886
ENSMUSG00000000340,5.175706,5.212813447632068,5.582889100009642,5.766734731627874
ENSMUSG00000000346,6.8395715,6.983709524588035,7.1442747922295915,7.270461619010209
ENSMUSG00000000355,7.488776,7.482503893299087,7.629172530671991,7.6798200227591735
ENSMUSG00000000359,2.532152,2.2848900492433515,1.752433134245357,1.89134558407565
ENSMUSG00000000374,6.307788,6.462323923531472,6.75107769706704,6.8718961408444805
ENSMUSG00000000378,7.0302076,7.038899501461787,7.019537380586899,6.94566651792311
ENSMUSG00000000384,5.5568924,5.782973426208893,5.843226718387744,6.038939119936516
ENSMUSG00000000392,3.077991,2.18824313815516,3.0196217094719966,2.908325199501092
ENSMUSG00000000394,2.7318883,3.3216871804803425,2.889621146498515,2.9527496026608664
ENSMUSG00000000399,6.9171715,6.9446420798368855,7.220568665894118,7.232433648625479
ENSMUSG00000000402,4.0498543,4.092623734811641,3.735515538181584,4.0405745394077766
ENSMUSG00000000409,4.9745317,5.225125054057685,5.104701154986965,5.038263404298445
ENSMUSG00000000416,7.8478203,7.994862262989464,7.875038825534023,7.9356554281926295
ENSMUSG00000000420,6.2174983,6.398361125290998,6.5779135630636,6.65807991372054
ENSMUSG00000000439,5.990666,6.033179672941137,6.278217003640786,6.345004822360239
ENSMUSG00000000441,7.6045785,7.649321228487964,7.761807758736897,7.836572981418217
ENSMUSG00000000486,5.130137,5.306829996537197,5.075878141722643,5.2198149403341425
ENSMUSG00000000489,4.783115,4.880550452495259,5.218286656025434,5.393088141422581
ENSMUSG00000000530,4.2032747,4.310067255022566,4.679737184286513,4.6777817867996605
ENSMUSG00000000531,4.2860117,4.261994823694469,4.246650607011082,4.339751954128956
ENSMUSG00000000532,6.3166747,6.563712871429437,6.7644113215444035,6.89722579485638
ENSMUSG00000000538,7.6675663,7.791222037059538,7.686723512491641,7.7152927019080595
ENSMUSG00000000552,6.125958,6.288919532367789,6.41878840833854,6.571252951576169
ENSMUSG00000000555,4.958536,5.169048378769201,4.858167479547497,4.924940410766339
ENSMUSG00000000560,6.646812,6.773491754575249,7.069513665434105,7.176261531437172
ENSMUSG00000000561,6.4720335,6.4900584098861795,6.676006464248465,6.766339650685882
ENSMUSG00000000563,9.208432,9.276409611834993,9.330928064652534,9.287088445557858
ENSMUSG00000000567,6.3327165,6.390979063145649,6.649301692795591,6.750007234698616
ENSMUSG00000000568,8.167662,8.155745435979522,8.345639777634323,8.39122852289934
ENSMUSG00000000579,8.453083,8.210033462297101,8.160499204327435,7.986788719024689
ENSMUSG00000000581,7.6566772,7.601583136032394,7.736335348230262,7.794929530697785
ENSMUSG00000000594,5.7381296,5.857837063092275,6.019295391972897,5.965160848520586
ENSMUSG00000000600,6.4149413,6.550732286897969,6.744181896110482,6.872119625954948
ENSMUSG00000000605,7.48188,7.577237369101903,7.804153065028391,7.888627225174293
ENSMUSG00000000627,5.634464,5.749224055873559,6.021853201566775,6.0304270012542185
ENSMUSG00000000628,2.8641276,3.388725340898586,3.4820347564143104,3.5333188382533574
ENSMUSG00000000631,6.233274,6.28707841268411,6.546520306157164,6.569535092245983
ENSMUSG00000000632,7.4646697,7.6134138910007065,7.828901294709981,8.024316519720376
