,sample,Spot_col,Spot_row,col,row,in_tissue,Tissue,Brain
100x100,P0-1,100,100,1692,968,1,Brain,Mb IC
100x101,P0-1,100,101,1689,977,1,Brain,Mb IC
100x102,P0-1,100,102,1687,986,1,Brain,Mb IC
100x103,P0-1,100,103,1684,995,1,Brain,Mb IC
100x104,P0-1,100,104,1682,1005,1,Brain,Mb IC
100x105,P0-1,100,105,1679,1014,1,Brain,Mb IC
100x106,P0-1,100,106,1677,1023,1,Brain,Mb IC
100x107,P0-1,100,107,1674,1033,1,Brain,Mb IC
100x108,P0-1,100,108,1672,1042,1,Brain,Mb IC
100x109,P0-1,100,109,1668,1051,1,Brain,Mb IC
100x110,P0-1,100,110,1666,1060,1,Brain,Hy
100x111,P0-1,100,111,1663,1069,1,Brain,Medulla and Pons(Hb)
100x112,P0-1,100,112,1661,1078,1,Brain,Medulla and Pons(Hb)
100x113,P0-1,100,113,1658,1088,1,Brain,Mb IC
100x114,P0-1,100,114,1656,1097,1,Brain,CbN
100x115,P0-1,100,115,1654,1106,1,Brain,CbN
100x118,P0-1,100,118,1645,1134,1,Brain,Cere_EGZ
100x119,P0-1,100,119,1643,1142,1,Brain,Cere_PCC
100x120,P0-1,100,120,1640,1152,1,Brain,Cere_PCC
100x121,P0-1,100,121,1638,1162,1,Brain,CbN
100x122,P0-1,100,122,1635,1170,1,Brain,CbN
100x123,P0-1,100,123,1633,1180,1,Brain,CbN
100x124,P0-1,100,124,1630,1189,1,Brain,CbN
100x125,P0-1,100,125,1628,1198,1,Brain,CbN
100x126,P0-1,100,126,1625,1207,1,Brain,CbN
100x127,P0-1,100,127,1622,1217,1,Brain,CbN
100x128,P0-1,100,128,1619,1226,1,Brain,CbN
100x129,P0-1,100,129,1617,1235,1,Brain,CbN
100x130,P0-1,100,130,1614,1245,1,Brain,CbN
100x131,P0-1,100,131,1612,1253,1,Brain,CbN
100x132,P0-1,100,132,1609,1263,1,Brain,CbN
100x133,P0-1,100,133,1607,1272,1,Brain,CbN
100x134,P0-1,100,134,1605,1281,1,Brain,CbN
100x135,P0-1,100,135,1602,1291,1,Brain,CbN
100x136,P0-1,100,136,1599,1299,1,Brain,CbN
100x137,P0-1,100,137,1596,1309,1,Brain,CbN
100x138,P0-1,100,138,1594,1318,1,Brain,CbN
100x139,P0-1,100,139,1591,1327,1,Brain,CbN
100x140,P0-1,100,140,1589,1336,1,Brain,CbN
100x141,P0-1,100,141,1586,1346,1,Brain,CbN
100x142,P0-1,100,142,1584,1355,1,Brain,CbN
100x143,P0-1,100,143,1581,1364,1,Brain,CbN
100x144,P0-1,100,144,1579,1374,1,Brain,CbN
100x145,P0-1,100,145,1575,1382,1,Brain,CbN
100x146,P0-1,100,146,1573,1392,1,Brain,CbN
100x147,P0-1,100,147,1570,1401,1,Brain,Medulla and Pons(Hb)
100x148,P0-1,100,148,1568,1410,1,Brain,Medulla and Pons(Hb)
100x149,P0-1,100,149,1565,1420,1,Brain,Medulla and Pons(Hb)
100x150,P0-1,100,150,1563,1429,1,Brain,Medulla and Pons(Hb)
100x151,P0-1,100,151,1543,1498,1,Brain,Medulla and Pons(Hb)
100x152,P0-1,100,152,1541,1507,1,Brain,Medulla and Pons(Hb)
100x153,P0-1,100,153,1538,1516,1,Brain,Medulla and Pons(Hb)
100x154,P0-1,100,154,1536,1526,1,Brain,Medulla and Pons(Hb)
100x155,P0-1,100,155,1534,1535,1,Brain,Medulla and Pons(Hb)
100x156,P0-1,100,156,1531,1544,1,Brain,Medulla and Pons(Hb)
100x157,P0-1,100,157,1528,1553,1,Brain,Medulla and Pons(Hb)
100x158,P0-1,100,158,1525,1562,1,Brain,Medulla and Pons(Hb)
100x159,P0-1,100,159,1523,1571,1,Brain,Medulla and Pons(Hb)
100x160,P0-1,100,160,1520,1581,1,Brain,Medulla and Pons(Hb)
100x161,P0-1,100,161,1518,1590,1,Brain,Medulla and Pons(Hb)
100x162,P0-1,100,162,1515,1599,1,Brain,Medulla and Pons(Hb)
100x163,P0-1,100,163,1513,1609,1,Brain,Medulla and Pons(Hb)
100x164,P0-1,100,164,1510,1617,1,Brain,Medulla and Pons(Hb)
100x76,P0-1,100,76,1754,747,1,Brain,Mb
100x77,P0-1,100,77,1752,755,1,Brain,Mb
100x78,P0-1,100,78,1749,765,1,Brain,Mb
100x79,P0-1,100,79,1746,775,1,Brain,Mb
100x80,P0-1,100,80,1744,783,1,Brain,Mb
100x81,P0-1,100,81,1742,793,1,Brain,Mb
100x82,P0-1,100,82,1738,802,1,Brain,Mb
100x83,P0-1,100,83,1736,811,1,Brain,Mb
100x84,P0-1,100,84,1733,820,1,Brain,Mb
100x85,P0-1,100,85,1731,830,1,Brain,Mb
100x86,P0-1,100,86,1728,839,1,Brain,Mb
100x87,P0-1,100,87,1726,848,1,Brain,Mb
100x88,P0-1,100,88,1723,858,1,Brain,Mb
100x89,P0-1,100,89,1721,866,1,Brain,Mb
100x90,P0-1,100,90,1718,876,1,Brain,Mb
100x91,P0-1,100,91,1715,884,1,Brain,Mb
100x92,P0-1,100,92,1712,894,1,Brain,Mb
100x93,P0-1,100,93,1710,904,1,Brain,Mb
100x94,P0-1,100,94,1708,912,1,Brain,Mb
100x95,P0-1,100,95,1705,922,1,Brain,Mb
100x96,P0-1,100,96,1703,931,1,Brain,Mb
100x97,P0-1,100,97,1700,940,1,Brain,Mb IC
100x98,P0-1,100,98,1698,949,1,Brain,Mb IC
100x99,P0-1,100,99,1695,959,1,Brain,Mb IC
101x100,P0-1,101,100,1701,971,1,Brain,Mb IC
101x101,P0-1,101,101,1699,979,1,Brain,Mb IC
101x102,P0-1,101,102,1696,989,1,Brain,Mb IC
101x103,P0-1,101,103,1694,998,1,Brain,Mb IC
101x104,P0-1,101,104,1691,1007,1,Brain,Mb IC
101x105,P0-1,101,105,1689,1016,1,Brain,Mb IC
101x106,P0-1,101,106,1685,1025,1,Brain,Mb IC
101x107,P0-1,101,107,1683,1035,1,Brain,Mb IC
101x108,P0-1,101,108,1681,1044,1,Brain,Mb IC
101x109,P0-1,101,109,1678,1054,1,Brain,Mb
101x110,P0-1,101,110,1676,1062,1,Brain,Medulla and Pons(Hb)
101x111,P0-1,101,111,1673,1072,1,Brain,Medulla and Pons(Hb)
101x112,P0-1,101,112,1671,1081,1,Brain,Mb
101x113,P0-1,101,113,1668,1090,1,Brain,Medulla and Pons(Hb)
101x114,P0-1,101,114,1666,1100,1,Brain,Medulla and Pons(Hb)
101x115,P0-1,101,115,1662,1108,1,Brain,CbN
101x116,P0-1,101,116,1660,1118,1,Brain,CbN
101x120,P0-1,101,120,1650,1155,1,Brain,Cere_PCC
101x121,P0-1,101,121,1647,1164,1,Brain,CbN
101x122,P0-1,101,122,1645,1173,1,Brain,CbN
101x123,P0-1,101,123,1642,1183,1,Brain,CbN
101x124,P0-1,101,124,1639,1191,1,Brain,CbN
101x125,P0-1,101,125,1636,1201,1,Brain,CbN
101x126,P0-1,101,126,1634,1209,1,Brain,CbN
101x127,P0-1,101,127,1632,1219,1,Brain,CbN
101x128,P0-1,101,128,1629,1229,1,Brain,CbN
101x129,P0-1,101,129,1627,1237,1,Brain,CbN
101x130,P0-1,101,130,1624,1247,1,Brain,CbN
101x131,P0-1,101,131,1622,1256,1,Brain,CbN
101x132,P0-1,101,132,1619,1265,1,Brain,CbN
101x133,P0-1,101,133,1616,1274,1,Brain,CbN
101x134,P0-1,101,134,1613,1284,1,Brain,CbN
101x135,P0-1,101,135,1611,1293,1,Brain,CbN
101x136,P0-1,101,136,1608,1302,1,Brain,CbN
101x137,P0-1,101,137,1606,1312,1,Brain,CbN
101x138,P0-1,101,138,1603,1320,1,Brain,CbN
101x139,P0-1,101,139,1601,1330,1,Brain,CbN
101x140,P0-1,101,140,1598,1339,1,Brain,CbN
101x141,P0-1,101,141,1596,1348,1,Brain,CbN
101x142,P0-1,101,142,1592,1358,1,Brain,CbN
101x143,P0-1,101,143,1590,1366,1,Brain,CbN
101x144,P0-1,101,144,1587,1376,1,Brain,CbN
101x145,P0-1,101,145,1585,1385,1,Brain,CbN
101x146,P0-1,101,146,1582,1394,1,Brain,Medulla and Pons(Hb)
101x147,P0-1,101,147,1580,1403,1,Brain,Medulla and Pons(Hb)
101x148,P0-1,101,148,1578,1413,1,Brain,Medulla and Pons(Hb)
101x149,P0-1,101,149,1575,1422,1,Brain,Medulla and Pons(Hb)
101x150,P0-1,101,150,1573,1431,1,Brain,Medulla and Pons(Hb)
101x151,P0-1,101,151,1553,1500,1,Brain,Medulla and Pons(Hb)
101x152,P0-1,101,152,1550,1510,1,Brain,Medulla and Pons(Hb)
101x153,P0-1,101,153,1548,1519,1,Brain,Medulla and Pons(Hb)
101x154,P0-1,101,154,1545,1528,1,Brain,Medulla and Pons(Hb)
101x155,P0-1,101,155,1542,1537,1,Brain,Medulla and Pons(Hb)
101x156,P0-1,101,156,1540,1547,1,Brain,Medulla and Pons(Hb)
101x157,P0-1,101,157,1537,1555,1,Brain,Medulla and Pons(Hb)
101x158,P0-1,101,158,1535,1565,1,Brain,Medulla and Pons(Hb)
101x159,P0-1,101,159,1532,1575,1,Brain,Medulla and Pons(Hb)
101x160,P0-1,101,160,1530,1583,1,Brain,Medulla and Pons(Hb)
101x161,P0-1,101,161,1527,1593,1,Brain,Medulla and Pons(Hb)
101x162,P0-1,101,162,1525,1602,1,Brain,Medulla and Pons(Hb)
101x163,P0-1,101,163,1521,1611,1,Brain,Medulla and Pons(Hb)
101x164,P0-1,101,164,1519,1620,1,Brain,Medulla and Pons(Hb)
101x75,P0-1,101,75,1766,740,1,Brain,Mb
101x76,P0-1,101,76,1764,749,1,Brain,Mb
101x77,P0-1,101,77,1761,758,1,Brain,Mb
101x78,P0-1,101,78,1758,767,1,Brain,Mb
101x79,P0-1,101,79,1755,777,1,Brain,Mb
101x80,P0-1,101,80,1753,786,1,Brain,Mb
101x81,P0-1,101,81,1750,795,1,Brain,Mb
101x82,P0-1,101,82,1748,804,1,Brain,Mb
101x83,P0-1,101,83,1745,814,1,Brain,Mb
101x84,P0-1,101,84,1743,822,1,Brain,Mb
101x85,P0-1,101,85,1740,832,1,Brain,Mb
101x86,P0-1,101,86,1738,842,1,Brain,Mb
101x87,P0-1,101,87,1735,850,1,Brain,Mb
101x88,P0-1,101,88,1732,860,1,Brain,Mb
101x89,P0-1,101,89,1730,869,1,Brain,Mb
101x90,P0-1,101,90,1727,878,1,Brain,Mb
101x91,P0-1,101,91,1725,887,1,Brain,Mb
101x92,P0-1,101,92,1722,897,1,Brain,Mb
101x93,P0-1,101,93,1719,906,1,Brain,Mb
101x94,P0-1,101,94,1717,915,1,Brain,Mb
101x95,P0-1,101,95,1715,925,1,Brain,Mb IC
101x96,P0-1,101,96,1712,933,1,Brain,Mb
101x97,P0-1,101,97,1709,943,1,Brain,Mb IC
101x98,P0-1,101,98,1706,951,1,Brain,Mb IC
101x99,P0-1,101,99,1704,961,1,Brain,Mb IC
102x100,P0-1,102,100,1711,973,1,Brain,Mb IC
102x101,P0-1,102,101,1709,982,1,Brain,Mb IC
102x102,P0-1,102,102,1705,991,1,Brain,Mb
102x103,P0-1,102,103,1703,1000,1,Brain,Mb IC
