,sample,Spot_col,Spot_row,col,row,in_tissue,Tissue,Brain
100x264,P4-1,100,264,2179,1290,1,Brain,Hy
100x265,P4-1,100,265,2170,1290,1,Brain,Hy
100x266,P4-1,100,266,2161,1290,1,Brain,Hy
100x267,P4-1,100,267,2151,1290,1,Brain,Hy
100x268,P4-1,100,268,2142,1290,1,Brain,Hy
100x269,P4-1,100,269,2133,1290,1,Brain,Hy
100x270,P4-1,100,270,2123,1290,1,Brain,Hy
100x271,P4-1,100,271,2114,1290,1,Brain,Hy
100x272,P4-1,100,272,2104,1290,1,Brain,Hy
100x273,P4-1,100,273,2095,1290,1,Brain,Hy
100x274,P4-1,100,274,2086,1290,1,Brain,Hy
100x275,P4-1,100,275,2076,1290,1,Brain,Hy
100x276,P4-1,100,276,2067,1290,1,Brain,Hy
100x277,P4-1,100,277,2058,1290,1,Brain,Hy
100x278,P4-1,100,278,2048,1290,1,Brain,Hy
100x279,P4-1,100,279,2039,1290,1,Brain,Hy
100x280,P4-1,100,280,2030,1290,1,Brain,Hy
100x281,P4-1,100,281,2020,1290,1,Brain,Hy
100x282,P4-1,100,282,2011,1291,1,Brain,Hy
100x283,P4-1,100,283,2002,1291,1,Brain,Hy
100x284,P4-1,100,284,1992,1291,1,Brain,Hy
100x285,P4-1,100,285,1983,1291,1,Brain,Hy
100x286,P4-1,100,286,1974,1291,1,Brain,Hy
100x287,P4-1,100,287,1964,1291,1,Brain,Hy
100x288,P4-1,100,288,1955,1291,1,Brain,Hy
100x289,P4-1,100,289,1945,1291,1,Brain,Hy
100x290,P4-1,100,290,1936,1291,1,Brain,Hy
100x291,P4-1,100,291,1927,1291,1,Brain,Hy
100x292,P4-1,100,292,1917,1291,1,Brain,Hy
100x293,P4-1,100,293,1908,1291,1,Brain,Hy
100x294,P4-1,100,294,1899,1291,1,Brain,Hy
100x295,P4-1,100,295,1889,1291,1,Brain,Hy
100x296,P4-1,100,296,1880,1291,1,Brain,Hy
100x297,P4-1,100,297,1871,1291,1,Brain,Hy
100x298,P4-1,100,298,1861,1291,1,Brain,Hy
100x299,P4-1,100,299,1852,1291,1,Brain,Hy
100x300,P4-1,100,300,1843,1291,1,Brain,Hy
100x301,P4-1,100,301,1772,1292,1,Brain,Hy
100x302,P4-1,100,302,1763,1292,1,Brain,Hy
100x303,P4-1,100,303,1754,1292,1,Brain,Hy
100x304,P4-1,100,304,1744,1292,1,Brain,Hy
100x305,P4-1,100,305,1735,1292,1,Brain,Hy
100x306,P4-1,100,306,1726,1292,1,Brain,Hy
100x307,P4-1,100,307,1716,1292,1,Brain,Hy
