ID,seq_id,type,angle-shun,center_col,center_row,col_x_1,row_y_1,angle_shun1,angle_shun2,col_x_2,row_y_2
T9-5-1-HE,1,ST,75,693.0,446.0,-360.0,-113.0,75,0.0,0.0,0.0
Slide1-6,2,Slide,75,199.0,234.5,134.0,98.5,75,1.0,-4.0,0.0
Slide1-7,4,Slide,-110,164.0,185.0,169.0,148.0,-110,1.0,-10.0,10.0
T9-5-2-HE,6,ST,-110,338.5,586.0,-5.5,-253.0,-110,-1.0,-2.0,0.0
Slide1-8,7,Slide,-110,175.5,179.5,157.5,153.5,-110,-1.0,2.0,-6.0
Slide1-9,9,Slide,80,190.5,248.5,142.5,84.5,80,-1.0,8.0,-10.0
T9-5-3-HE,11,ST,85,684.9,423.4,-351.9,-90.4,85,1.0,4.0,-4.0
Slide1-10,12,Slide,70,212.5,255.5,120.5,77.5,70,3.0,-10.0,8.0
Slide1-1,14,Slide,70,198.0,194.5,135.0,138.5,70,-3.0,0.0,6.0
T9-5-4-HE,16,ST,-110,372.5,516.5,-39.5,-183.5,-110,-1.0,2.0,-6.0
Slide1-2,17,Slide,70,201.5,188.0,131.5,145.0,70,1.0,2.0,-8.0
Slide1-3,19,Slide,-90,178.5,256.5,154.5,76.5,-90,1.0,-4.0,2.0
T9-5-5-HE,21,ST,70,630.5,383.0,-297.5,-50.0,70,1.0,-8.0,6.0
Slide1-4,22,Slide,-105,209.7,241.0,123.3,92.0,-105,-3.0,8.0,-10.0
Slide1-5,24,Slide,-100,148.6,275.6,184.4,57.4,-100,3.0,2.0,8.0
T9-5-6-HE,26,ST,-105,260.5,551.5,72.5,-218.5,-105,-1.0,6.0,-2.0
Slide2-1,27,Slide,80,263.0,253.5,70.0,79.5,80,-1.0,8.0,-4.0
Slide2-2,29,Slide,75,272.0,239.5,61.0,93.5,75,1.0,2.0,0.0
T9-5-7-HE,31,ST,-105,397.9,560.2,-64.9,-227.2,-105,-1.0,4.0,-4.0
Slide2-3,32,Slide,90,165.0,238.5,168.0,94.5,90,3.0,-10.0,-10.0
Slide2-4,34,Slide,-90,265.5,249.5,67.5,83.5,-90,-1.0,-8.0,-10.0
T9-5-8-HE,36,ST,-106,327.1,561.7,5.9,-228.7,-106,1.0,-2.0,6.0
Slide2-5,37,Slide,-100,177.4,262.8,155.6,70.2,-100,1.0,-6.0,0.0
Slide2-6,39,Slide,45,224.0,242.5,109.0,90.5,45,-1.0,-10.0,-10.0
T9-5-9-HE,41,ST,-110,345.0,514.0,-12.0,-181.0,-110,-1.0,-4.0,-2.0
Slide2-7,42,Slide,70,173.0,251.0,160.0,82.0,70,-1.0,6.0,-8.0
Slide2-8,44,Slide,60,191.5,191.0,141.5,142.0,60,1.0,8.0,-6.0
T9-11-1-HE,46,ST,80,582.0,467.0,-249.0,-134.0,80,1.0,4.0,0.0
Slide2-9,47,Slide,-90,249.0,256.0,84.0,77.0,-90,1.0,8.0,2.0
Slide2-10,49,Slide,-88,263.0,243.0,70.0,90.0,-88,1.0,0.0,-2.0
Slide3-1,54,Slide,80,244.5,198.5,88.5,134.5,80,1.0,-10.0,10.0
Slide3-2,55,Slide,78,224.5,184.5,108.5,148.5,78,-1.0,-4.0,4.0
T9-11-3-HE,56,ST,76,646.7,470.8,-313.7,-137.8,76,-1.0,2.0,-2.0
Slide3-3,57,Slide,-115,195.0,182.3,138.0,150.7,-115,1.0,-4.0,4.0
Slide3-4,59,Slide,-123,256.9,191.2,76.1,141.8,-123,-1.0,2.0,-2.0
